thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label
116.41695247197619,168.116618687213,146.28853980074413,128.25183104598534,141.17009211218908,A
116.4944102085898,172.57242210928487,157.19324668451014,145.93138358995472,156.47276764642766,A
107.84998489190677,165.45603863822168,155.0741039604382,142.6883594611603,155.92180523057164,A
155.6034672605677,179.06244107555608,170.47548980490984,136.9894253062389,155.21002172992627,A
153.83372825071248,174.40569844611298,151.8605270499452,126.52419803388626,143.70937443980597,A
149.20348175465895,176.14879583149033,154.13189128551753,130.9579505896484,147.1029937498588,A
137.7170160446018,113.106621015668,90.22288597822381,85.3252741498526,59.04382178742898,A
135.4395133548984,130.74669343976535,107.06044560407702,97.1308012359822,75.24022280642386,A
146.4687644726724,118.73566783567207,88.57097384188057,79.42160890157398,64.27470108868548,A
148.91853096647665,155.63201963036187,111.66752114863324,109.32301911659194,136.9747105606554,A
148.64940065672948,153.17446546340074,104.2032785392515,107.35907352926304,132.51126688458456,A
149.38058756187817,154.16042077360584,104.13764118610761,106.63849057258683,136.0300304512926,A
139.19916384342494,161.34184980554355,116.7379267805898,119.35219445399254,145.83417547373392,A
129.03407371988553,164.39986222880574,110.74943616241987,113.96880194547481,143.69303475582933,A
137.86860245475978,159.96710252513193,116.73088406026021,118.16848579964068,150.17011731705873,A
129.41453740775114,124.30033192552885,91.59575432740036,82.20414606314513,73.79732793563173,A
135.1484322349623,100.27550919900266,70.6224600253885,80.51970200973363,92.31386543973964,A
127.38748789336043,123.55797224110036,82.83762766720403,83.125244628229,80.39336662114366,A
122.11372017893642,169.15127305091627,165.53469174676584,162.47664992032398,165.90574747571526,A
134.71937686981158,174.6687179915236,168.17732087100126,167.62796850961573,171.49470857333336,A
150.7824109994858,167.5387014387047,162.28815988005204,159.36719372684752,163.98372549438088,A
146.79450941880165,161.02596843473543,73.95254300499566,99.1043611274971,129.28868516597137,A
160.88420445970758,154.28769465576724,31.74059069153877,100.92256402539384,141.19587750564094,A
